gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	TPM_coefficient_of_quartile_variation	FPKM_ci_lower_bound	FPKM_ci_upper_bound	FPKM_coefficient_of_quartile_variation
ENSG00000129810.14	ENST00000263753.8,ENST00000306698.6,ENST00000412997.5,ENST00000417364.1,ENST00000419233.6,ENST00000421451.5,ENST00000425061.5,ENST00000437051.5,ENST00000442720.5,ENST00000443724.5,ENST00000452020.5,ENST00000456624.1,ENST00000460637.1	2134.25	1958.15	2220.00	18.18	16.85	2216.45	3.56	18.25	17.09	17.3613	19.1751	0.0171096	16.2861	17.9849	0.0170973
ENSG00000129816.5	ENST00000250776.5	910.00	733.91	0.00	0.00	0.00	0.00	0.00	0.02	0.02	5.04933e-07	0.0640542	0.653471	4.73032e-07	0.0600181	0.653479
ENSG00000129824.15	ENST00000250784.12,ENST00000430575.1,ENST00000477725.1,ENST00000515575.1	892.00	715.93	0.00	0.00	0.00	0.00	0.00	0.12	0.11	0.015786	0.247436	0.3726	0.0147966	0.231847	0.372498
ENSG00000129845.5	ENST00000250805.5	910.00	733.91	0.00	0.00	0.00	0.00	0.00	0.02	0.02	1.63194e-06	0.0642378	0.654864	1.52783e-06	0.0601863	0.654925
ENSG00000129862.6	ENST00000250823.4	550.00	373.96	0.00	0.00	0.00	0.09	0.32	0.05	0.04	2.30458e-06	0.138506	0.654492	2.15778e-06	0.129813	0.654505
ENSG00000129864.6	ENST00000250825.4	550.00	373.96	0.00	0.00	0.00	0.10	0.34	0.05	0.04	1.19003e-06	0.13901	0.651305	1.11499e-06	0.130239	0.651422
ENSG00000129873.7	ENST00000382867.4,ENST00000544303.1	2165.00	1988.91	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.000489509	0.0383768	0.470108	0.000448855	0.0359449	0.470094
ENSG00000129910.7	ENST00000289746.2,ENST00000521087.5,ENST00000524089.1	1780.18	1604.09	9.00	0.09	0.08	9.00	0.00	0.12	0.11	0.0533413	0.197666	0.209525	0.0499208	0.185154	0.209503
ENSG00000129911.8	ENST00000250916.5,ENST00000541015.5,ENST00000592313.1,ENST00000617223.1	2846.01	2669.92	3026.00	18.17	16.84	3021.22	4.59	18.03	16.88	17.3316	18.772	0.0137283	16.2434	17.5937	0.013726
ENSG00000129925.10	ENST00000250930.7,ENST00000424078.5,ENST00000427313.5,ENST00000431232.6,ENST00000448854.1,ENST00000467452.1,ENST00000475348.1,ENST00000476735.1	1831.44	1655.36	4953.59	47.99	44.47	4953.43	2.49	47.72	44.69	45.1482	50.4248	0.0193709	42.2685	47.2141	0.0193487
ENSG00000129932.8	ENST00000427575.5	2031.00	1854.91	2512.00	21.72	20.13	2512.00	0.00	21.44	20.07	20.5916	22.2728	0.0134529	19.3085	20.8832	0.0134665
ENSG00000129933.20	ENST00000262815.12,ENST00000262816.11,ENST00000499453.2,ENST00000585823.7,ENST00000586189.7,ENST00000587362.5,ENST00000587638.6,ENST00000587709.5,ENST00000587938.7,ENST00000589637.1,ENST00000589947.7,ENST00000590837.8,ENST00000590882.1,ENST00000592069.1,ENST00000609060.1,ENST00000609122.5	3030.73	2854.66	4106.00	23.07	21.38	4106.00	0.00	23.35	21.86	21.3517	25.3609	0.0296884	20.0083	23.7642	0.0296806
ENSG00000129946.10	ENST00000264554.10,ENST00000587423.5,ENST00000588376.5,ENST00000590113.4,ENST00000590170.3,ENST00000590222.5	1774.13	1598.03	12.00	0.12	0.11	12.00	0.00	0.23	0.22	0.116449	0.360204	0.181611	0.109084	0.337459	0.181602
ENSG00000129951.18	ENST00000359894.6,ENST00000517665.2,ENST00000519502.2,ENST00000520876.7	2194.62	2018.53	2245.00	17.84	16.53	2245.00	0.00	17.75	16.63	16.8937	18.6359	0.016799	15.8074	17.4389	0.0168109
ENSG00000129965.15	ENST00000356578.8,ENST00000397270.1	1267.00	1090.91	0.00	0.00	0.00	0.08	0.27	0.04	0.03	0.000394296	0.0870418	0.493046	0.000472831	0.081655	0.493024
ENSG00000129968.15	ENST00000250974.9,ENST00000292577.11,ENST00000588598.5,ENST00000590661.1,ENST00000591351.5,ENST00000592757.1	2611.61	2435.52	5538.94	36.47	33.80	5538.54	5.00	36.12	33.82	35.0133	37.2658	0.0107373	32.7827	34.8921	0.0107481
ENSG00000129988.5	ENST00000217407.2	1961.00	1784.91	15.00	0.13	0.12	15.00	0.00	0.14	0.13	0.0761392	0.212225	0.168461	0.0713815	0.19888	0.168364
ENSG00000129990.14	ENST00000354308.7,ENST00000537500.5,ENST00000585461.1,ENST00000587067.1,ENST00000588305.5,ENST00000589172.5,ENST00000590851.5,ENST00000590859.1,ENST00000592470.1,ENST00000592935.1,ENST00000592956.1	585.10	409.18	758.00	29.71	27.53	758.00	0.00	29.79	27.90	26.497	33.1495	0.038424	24.839	31.0706	0.0384525
ENSG00000129991.12	ENST00000344887.9,ENST00000585806.5,ENST00000586446.1,ENST00000586669.5,ENST00000586858.1,ENST00000587176.5,ENST00000588882.1,ENST00000589864.1,ENST00000590463.1	790.29	614.21	2022.75	52.81	48.94	2022.71	4.03	52.60	49.25	50.1888	55.049	0.015949	47.0209	51.5717	0.0159452
ENSG00000129993.14	ENST00000268679.8,ENST00000327483.9,ENST00000562719.5,ENST00000563640.1,ENST00000563856.1,ENST00000563920.1,ENST00000564416.1,ENST00000566868.1,ENST00000569443.5,ENST00000569464.5,ENST00000570046.1	3787.14	3611.05	9508.43	42.22	39.13	9508.37	0.78	42.31	39.62	40.5599	44.1103	0.014183	37.9645	41.2929	0.0141789
ENSG00000130005.12	ENST00000252288.7,ENST00000447102.8,ENST00000591788.3,ENST00000640164.1,ENST00000640762.1	1159.78	983.69	2071.00	33.76	31.29	2071.00	0.00	33.70	31.56	32.1792	35.2392	0.0154537	30.1515	33.0185	0.0154184
ENSG00000130021.13	ENST00000381077.9,ENST00000412827.6,ENST00000424830.6,ENST00000486446.2,ENST00000498474.2,ENST00000540122.5	1980.09	1804.00	2588.00	23.00	21.32	2588.00	0.00	22.99	21.53	21.4024	24.8348	0.0262545	20.0236	23.2401	0.0262164
ENSG00000130023.15	ENST00000366771.5,ENST00000366772.6,ENST00000366773.7,ENST00000392095.8,ENST00000418781.7,ENST00000477995.1,ENST00000492738.1,ENST00000586341.5,ENST00000588437.5,ENST00000588451.1,ENST00000590017.1,ENST00000590711.5,ENST00000592315.5,ENST00000592367.5,ENST00000592580.5,ENST00000592745.5	1215.53	1039.46	1213.00	18.71	17.34	1213.00	0.00	19.38	18.15	17.4108	21.4152	0.0354155	16.3103	20.061	0.0354077
ENSG00000130024.14	ENST00000339209.8,ENST00000366780.8,ENST00000464779.1,ENST00000480008.1,ENST00000612128.1,ENST00000621772.4	2319.40	2143.31	5901.10	44.15	40.92	5901.13	1.54	43.66	40.89	42.3509	44.9778	0.0103409	39.7133	42.1733	0.0103353
ENSG00000130032.15	ENST00000370353.3,ENST00000370354.5,ENST00000448324.1,ENST00000448726.5,ENST00000538575.5	2564.51	2388.42	2.00	0.01	0.01	2.00	0.00	0.24	0.22	0.0365278	0.490763	0.35915	0.0324736	0.457961	0.359107
ENSG00000130035.7	ENST00000252318.6,ENST00000433855.1,ENST00000535354.1,ENST00000541339.2,ENST00000542998.5,ENST00000648865.1	1013.54	837.47	2.00	0.04	0.04	3.13	1.11	0.26	0.25	0.0508486	0.585933	0.371318	0.0477322	0.549086	0.371417
ENSG00000130037.4	ENST00000252321.4	2800.00	2623.91	0.00	0.00	0.00	0.00	0.00	0.01	0.01	1.506e-07	0.0182983	0.652228	1.40992e-07	0.0171418	0.65216
ENSG00000130038.9	ENST00000252322.1,ENST00000333750.9,ENST00000440314.6,ENST00000514026.2,ENST00000535292.1,ENST00000535507.1	2391.33	2215.24	797.00	5.77	5.35	797.00	0.00	5.78	5.41	5.26046	6.31417	0.031192	4.92356	5.91087	0.0311865
ENSG00000130045.16	ENST00000375854.7,ENST00000375855.3,ENST00000478686.1,ENST00000487646.2,ENST00000618633.1,ENST00000649870.1	1009.33	833.25	0.00	0.00	0.00	0.00	0.00	0.12	0.12	0.0345938	0.228633	0.283584	0.03241	0.214208	0.283536
ENSG00000130052.13	ENST00000252336.10,ENST00000374597.3,ENST00000374599.7,ENST00000488088.1,ENST00000523864.5	4758.52	4582.43	4509.00	15.78	14.62	4509.00	0.00	15.61	14.62	15.144	16.1137	0.0106592	14.1867	15.0933	0.010652
ENSG00000130054.4	ENST00000252338.4	4013.00	3836.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17986e-08	0.0124025	0.657453	2.04231e-08	0.0116207	0.657437
ENSG00000130055.13	ENST00000374382.3,ENST00000453994.6,ENST00000472623.1,ENST00000536730.5,ENST00000538649.5	2067.00	1890.91	1.00	0.01	0.01	1.00	0.00	0.05	0.05	0.0149772	0.0897041	0.275946	0.0141251	0.0841452	0.275879
ENSG00000130066.16	ENST00000379251.7,ENST00000379253.7,ENST00000379254.5,ENST00000379270.4,ENST00000462639.1,ENST00000463236.5,ENST00000474223.1,ENST00000487713.1,ENST00000489394.5	1037.58	861.49	2504.00	46.61	43.20	2504.00	0.00	46.41	43.46	44.5251	48.2878	0.0139455	41.694	45.2182	0.0139376
ENSG00000130119.15	ENST00000336470.8,ENST00000360845.2,ENST00000489691.1	2261.09	2085.00	2338.00	17.98	16.66	2338.00	0.00	17.84	16.71	17.1152	18.5956	0.0141782	16.0302	17.4184	0.0141617
ENSG00000130147.15	ENST00000344528.8,ENST00000392011.6,ENST00000409212.5,ENST00000416021.5,ENST00000444916.5,ENST00000446904.5,ENST00000454947.1,ENST00000462602.6,ENST00000484097.1,ENST00000489601.1,ENST00000493436.5	5044.00	4867.91	2.00	0.01	0.01	2.00	0.00	0.48	0.45	0.149549	0.938498	0.28422	0.140937	0.879959	0.28417
ENSG00000130150.11	ENST00000380492.7,ENST00000460386.1,ENST00000461777.1,ENST00000482354.5,ENST00000495110.1,ENST00000497603.2	3288.64	3112.55	714.00	3.68	3.41	714.00	0.00	3.85	3.60	3.37058	4.35221	0.0437383	3.15905	4.079	0.0437315
ENSG00000130158.13	ENST00000294618.11,ENST00000585609.1,ENST00000585904.1,ENST00000586482.1,ENST00000586702.1,ENST00000587572.1,ENST00000587656.5,ENST00000587734.1,ENST00000588429.1,ENST00000588666.1,ENST00000590452.1,ENST00000590680.5,ENST00000591750.1,ENST00000592403.1,ENST00000592463.1,ENST00000592550.1	3713.90	3537.81	1330.00	6.03	5.59	1329.73	0.50	7.43	6.96	6.35909	8.60789	0.0513674	5.98308	8.08959	0.0513692
ENSG00000130159.13	ENST00000252440.11,ENST00000270517.11,ENST00000417981.6,ENST00000585318.5,ENST00000585898.1,ENST00000586149.1,ENST00000588998.5,ENST00000590480.1,ENST00000591104.5,ENST00000591352.1,ENST00000592312.5,ENST00000592571.1,ENST00000592665.1,ENST00000593231.1	1443.19	1267.10	3142.00	39.76	36.85	3142.00	0.00	41.25	38.63	38.676	44.08	0.0215329	36.235	41.297	0.0215049
ENSG00000130164.13	ENST00000252444.9,ENST00000455727.6,ENST00000535915.5,ENST00000545707.5,ENST00000557933.5,ENST00000557958.1,ENST00000558013.5,ENST00000558518.5,ENST00000558528.1,ENST00000559340.1,ENST00000560173.1,ENST00000560467.1,ENST00000560502.5,ENST00000560628.1	3524.13	3348.05	13286.00	63.63	58.97	13286.00	0.00	63.36	59.33	60.8569	65.866	0.013597	57.0199	61.7172	0.0135839
ENSG00000130165.10	ENST00000252445.7,ENST00000586120.5,ENST00000586683.5,ENST00000587806.5,ENST00000589171.5,ENST00000590700.5,ENST00000591674.5,ENST00000591912.1,ENST00000593077.1	1005.39	829.30	4167.00	80.58	74.67	4167.00	0.00	79.77	74.70	77.3112	82.2124	0.01055	72.4535	77.0485	0.0105467
ENSG00000130167.13	ENST00000316737.5,ENST00000337994.5,ENST00000589928.1,ENST00000590327.5,ENST00000592955.5,ENST00000621731.4	1040.00	863.91	1.00	0.02	0.02	1.00	0.00	0.20	0.18	0.0559353	0.366697	0.281378	0.0525401	0.343759	0.281451
ENSG00000130173.13	ENST00000252453.12,ENST00000587543.1,ENST00000591200.5,ENST00000616433.4	757.75	581.70	0.00	0.00	0.00	0.27	0.50	0.15	0.14	0.0241017	0.321387	0.362233	0.0195588	0.298063	0.362185
ENSG00000130175.9	ENST00000585325.5,ENST00000585540.1,ENST00000586486.1,ENST00000587290.5,ENST00000587327.5,ENST00000587509.5,ENST00000588269.1,ENST00000589126.5,ENST00000589838.5,ENST00000589990.1,ENST00000590098.1,ENST00000591462.5,ENST00000591510.1,ENST00000591946.5,ENST00000592435.1,ENST00000592445.1,ENST00000592741.5,ENST00000593053.1,ENST00000593101.5,ENST00000593104.5	1686.62	1510.54	17527.00	186.07	172.44	17527.00	0.00	185.06	173.29	179.14	190.74	0.010578	167.968	178.808	0.0105528
ENSG00000130176.7	ENST00000252456.6,ENST00000535659.6,ENST00000585869.1,ENST00000586059.5,ENST00000586577.1,ENST00000587087.5,ENST00000588468.1,ENST00000588935.1,ENST00000592338.5,ENST00000592923.5	1575.62	1399.53	436.00	5.00	4.63	436.00	0.00	5.42	5.08	4.82015	6.04879	0.0390648	4.51577	5.66699	0.0390867
ENSG00000130177.15	ENST00000252457.9,ENST00000252458.6,ENST00000356221.7,ENST00000360383.7,ENST00000375308.5,ENST00000375310.5,ENST00000461716.1,ENST00000484907.1,ENST00000494581.1,ENST00000494766.5,ENST00000628084.2,ENST00000650489.1	2059.57	1883.48	3985.00	33.93	31.44	3985.00	0.00	33.70	31.56	32.5626	34.8384	0.0117218	30.5196	32.6518	0.0117165
ENSG00000130182.7	ENST00000252463.6,ENST00000538082.5,ENST00000571903.5,ENST00000572431.1,ENST00000572548.1,ENST00000573931.1,ENST00000575108.5,ENST00000576483.1,ENST00000576985.5,ENST00000577059.1	1726.00	1549.91	1.00	0.01	0.01	1.00	0.00	0.19	0.17	0.0627255	0.330983	0.25876	0.0590056	0.310324	0.258695
ENSG00000130193.7	ENST00000336138.3,ENST00000518798.1,ENST00000520217.1	2259.36	2083.27	836.00	6.44	5.96	835.40	0.93	6.48	6.07	5.9981	6.96719	0.0253297	5.62026	6.52817	0.0253521
ENSG00000130202.9	ENST00000252483.9,ENST00000252485.8,ENST00000585601.1,ENST00000587386.1,ENST00000591581.1,ENST00000592018.1	1723.39	1547.30	5691.00	58.98	54.66	5691.00	0.00	58.32	54.61	55.7049	60.9379	0.0158507	52.1955	57.098	0.0158519
ENSG00000130203.9	ENST00000252486.8,ENST00000425718.1,ENST00000434152.5,ENST00000446996.5,ENST00000485628.2	1163.19	987.10	13392.00	217.56	201.62	13392.00	0.00	214.82	201.16	210.855	218.723	0.00623474	197.572	204.947	0.00622758
ENSG00000130204.12	ENST00000252487.9,ENST00000405636.6,ENST00000426677.6,ENST00000589253.1,ENST00000589649.1,ENST00000592041.1,ENST00000592434.5	1713.57	1537.48	12543.41	130.83	121.24	12543.35	1.48	129.73	121.48	127.19	132.261	0.0066237	119.254	123.999	0.00662844
ENSG00000130208.9	ENST00000586638.5,ENST00000588750.5,ENST00000588802.5,ENST00000589078.1,ENST00000589781.1,ENST00000590334.5,ENST00000592176.1,ENST00000592535.5,ENST00000592885.5	408.28	232.42	5123.94	353.52	327.63	5123.95	0.23	350.06	327.80	330.467	370.98	0.0198263	309.437	347.395	0.0198421
ENSG00000130222.10	ENST00000252506.10,ENST00000375769.1,ENST00000494726.1	1018.67	842.58	3.00	0.06	0.05	3.00	0.00	0.13	0.12	0.0361849	0.238413	0.284491	0.0338576	0.223328	0.284475
ENSG00000130224.14	ENST00000317135.12,ENST00000538422.2	4929.00	4752.91	707.00	2.39	2.21	707.00	0.00	2.36	2.21	2.18831	2.53383	0.0252992	2.05143	2.37507	0.0252874
ENSG00000130226.16	ENST00000332007.7,ENST00000377770.7,ENST00000404039.5,ENST00000406326.5,ENST00000427557.1,ENST00000462622.5,ENST00000471100.5,ENST00000478614.1,ENST00000479637.1,ENST00000480367.1,ENST00000481593.1,ENST00000484789.5,ENST00000488512.5,ENST00000493268.1,ENST00000496611.1,ENST00000619756.4	4083.00	3906.91	3.00	0.01	0.01	3.00	0.00	0.37	0.35	0.180474	0.600987	0.199901	0.170508	0.564545	0.199855
ENSG00000130227.16	ENST00000252512.13,ENST00000433566.8,ENST00000517551.2,ENST00000518017.1,ENST00000518808.1,ENST00000519769.5,ENST00000520754.1,ENST00000521303.5,ENST00000522015.1	2455.16	2279.10	14784.00	104.02	96.40	14784.00	0.00	103.06	96.51	99.0196	107.329	0.0137833	92.5997	100.382	0.0137912
